,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
204,SFMF,                                        9.09,                                        0.29,                                        3.30,                                        8.97,                                        9.09,                                        8.81,"                                        26,700.00",                                        8.80
205,SGHC,                                        251.50,                                        1.50,                                        0.60,                                        245.00,                                        253.50,                                        242.00,"                                        2,825.00",                                        250.00
206,SHEL,                                        229.00,                                        -7.60,                                        -3.21,                                        232.00,                                        240.00,                                        228.10,                                        460.00,                                        236.60
207,SHINE,                                        334.00,                                        0.00,                                        0.00,                                        329.00,                                        335.00,                                        328.10,"                                        22,749.00",                                        334.00
208,SHIVM,                                        546.00,                                        -7.90,                                        -1.43,                                        554.00,                                        554.00,                                        542.00,"                                        50,514.00",                                        553.90
209,SHL,                                        218.00,                                        1.10,                                        0.51,                                        216.00,                                        218.00,                                        215.00,"                                        13,589.00",                                        216.90
210,SHPC,                                        271.00,                                        -3.90,                                        -1.42,                                        270.00,                                        272.90,                                        269.50,"                                        14,934.00",                                        274.90
211,SICL,                                        768.10,                                        3.10,                                        0.41,                                        765.00,                                        777.70,                                        764.00,"                                        2,431.00",                                        765.00
212,SIFC,                                        304.00,                                        -1.80,                                        -0.59,                                        299.70,                                        305.00,                                        299.00,"                                        7,612.00",                                        305.80
213,SIGS2,                                        7.99,                                        -0.01,                                        -0.12,                                        7.85,                                        8.00,                                        7.85,"                                        3,200.00",                                        8.00
214,SIKLES,                                        378.00,                                        5.00,                                        1.34,                                        370.00,                                        379.90,                                        370.00,"                                        12,480.00",                                        373.00
215,SIL,                                        485.00,                                        5.90,                                        1.23,                                        470.00,                                        498.30,                                        470.00,                                        375.00,                                        479.10
216,SINDU,                                        257.90,                                        4.90,                                        1.94,                                        258.00,                                        258.00,                                        253.00,"                                        2,619.00",                                        253.00
217,SJCL,                                        237.00,                                        17.00,                                        7.73,                                        220.00,                                        237.00,                                        218.00,"                                        5,504.00",                                        220.00
218,SKBBL,"                                        1,115.00",                                        0.00,                                        0.00,"                                        1,134.00","                                        1,134.00","                                        1,108.00","                                        2,916.00","                                        1,115.00"
219,SLBBL,                                        838.00,                                        17.00,                                        2.07,                                        818.00,                                        838.00,                                        818.00,"                                        1,018.00",                                        821.00
220,SLBSL,"                                        1,222.40",                                        9.10,                                        0.75,"                                        1,213.30","                                        1,222.40","                                        1,200.00",                                        63.00,"                                        1,213.30"
221,SLCF,                                        7.15,                                        0.03,                                        0.42,                                        7.12,                                        7.15,                                        7.01,"                                        1,400.00",                                        7.12
222,SLI,                                        335.00,                                        6.00,                                        1.82,                                        323.00,                                        345.30,                                        323.00,"                                        4,219.00",                                        329.00
223,SMATA,                                        748.00,                                        11.00,                                        1.49,                                        722.50,                                        749.00,                                        722.50,                                        149.00,                                        737.00
224,SMB,"                                        1,180.00",                                        -20.40,                                        -1.70,"                                        1,199.00","                                        1,199.00","                                        1,180.00",                                        404.00,"                                        1,200.40"
225,SMFBS,"                                        1,380.00",                                        -2.00,                                        -0.14,"                                        1,361.10","                                        1,380.00","                                        1,361.00",                                        39.00,"                                        1,382.00"
226,SMFDB,"                                        1,190.70",                                        24.50,                                        2.10,"                                        1,189.50","                                        1,282.80","                                        1,189.50","                                        38,070.00","                                        1,166.20"
227,SPDL,                                        263.00,                                        -1.50,                                        -0.57,                                        267.80,                                        268.00,                                        261.50,"                                        7,911.00",                                        264.50
228,SPHL,                                        350.00,                                        -2.00,                                        -0.57,                                        345.10,                                        352.00,                                        345.10,                                        780.00,                                        352.00
229,SRBL,                                        186.00,                                        1.50,                                        0.81,                                        183.00,                                        186.00,                                        183.00,"                                        12,567.00",                                        184.50
230,SSHL,                                        172.00,                                        -2.00,                                        -1.15,                                        175.00,                                        175.00,                                        168.60,"                                        14,286.00",                                        174.00
231,STC,"                                        3,580.00",                                        -10.00,                                        -0.28,"                                        3,648.90","                                        3,649.00","                                        3,565.00","                                        1,033.00","                                        3,590.00"
232,SWBBL,"                                        1,177.90",                                        -2.10,                                        -0.18,"                                        1,181.00","                                        1,181.00","                                        1,167.30","                                        2,899.00","                                        1,180.00"
233,SWMF,                                        720.00,                                        8.00,                                        1.12,                                        712.00,                                        725.90,                                        707.00,                                        672.00,                                        712.00
234,TPC,                                        320.00,                                        -10.90,                                        -3.29,                                        331.00,                                        331.00,                                        318.00,"                                        2,001.00",                                        330.90
235,TRH,                                        337.30,                                        -5.70,                                        -1.66,                                        349.80,                                        349.80,                                        336.30,                                        90.00,                                        343.00
236,UHEWA,                                        347.50,                                        -1.60,                                        -0.46,                                        343.20,                                        354.00,                                        341.00,"                                        2,125.00",                                        349.10
237,UIC,                                        339.30,                                        2.00,                                        0.59,                                        340.00,                                        342.90,                                        338.50,"                                        1,519.00",                                        337.30
238,ULBSL,"                                        3,455.00",                                        6.00,                                        0.17,"                                        3,400.00","                                        3,455.00","                                        3,400.00",                                        150.00,"                                        3,449.00"
239,UMHL,                                        225.50,                                        -1.50,                                        -0.66,                                        223.10,                                        229.00,                                        223.00,"                                        9,736.00",                                        227.00
240,UMRH,                                        416.90,                                        9.00,                                        2.21,                                        415.00,                                        417.00,                                        409.00,"                                        2,494.00",                                        407.90
241,UNHPL,                                        190.00,                                        -1.00,                                        -0.52,                                        194.50,                                        194.50,                                        184.00,"                                        7,159.00",                                        191.00
242,UPCL,                                        216.40,                                        -2.30,                                        -1.05,                                        214.40,                                        218.00,                                        214.40,"                                        21,168.00",                                        218.70
243,UPPER,                                        391.00,                                        19.00,                                        5.11,                                        379.40,                                        394.00,                                        379.40,"                                        76,962.00",                                        372.00
244,USHEC,                                        254.50,                                        4.50,                                        1.80,                                        245.10,                                        254.50,                                        245.10,"                                        2,290.00",                                        250.00
245,USLB,                                        870.10,                                        -16.90,                                        -1.91,                                        871.00,                                        875.10,                                        853.10,                                        866.00,                                        887.00
246,VLBS,                                        825.00,                                        4.00,                                        0.49,                                        821.00,                                        828.00,                                        821.00,                                        71.00,                                        821.00
247,WNLB,                                        891.10,                                        4.00,                                        0.45,                                        904.80,                                        904.80,                                        891.10,                                        226.00,                                        887.10
