,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
46,GBBL,                                        378.00,                                        -1.90,                                        -0.50,                                        380.00,                                        381.00,                                        375.00,"                                        10,271.00",                                        379.90
47,GBIME,                                        212.00,                                        -2.00,                                        -0.93,                                        214.00,                                        214.50,                                        209.00,"                                        26,556.00",                                        214.00
48,GBLBS,                                        599.00,                                        7.50,                                        1.27,                                        600.00,                                        600.00,                                        590.00,                                        605.00,                                        591.50
49,GFCL,                                        446.90,                                        -1.00,                                        -0.22,                                        440.00,                                        448.80,                                        440.00,"                                        1,977.00",                                        447.90
50,GHL,                                        193.00,                                        -1.00,                                        -0.52,                                        196.10,                                        197.80,                                        191.00,"                                        7,485.00",                                        194.00
51,GIBF1,                                        8.01,                                        -0.15,                                        -1.84,                                        8.16,                                        8.16,                                        8.01,"                                        5,720.00",                                        8.16
52,GILB,"                                        1,135.00",                                        6.00,                                        0.53,"                                        1,150.00","                                        1,150.00","                                        1,127.00",                                        557.00,"                                        1,129.00"
53,GIMES1,                                        8.40,                                        -0.04,                                        -0.47,                                        8.58,                                        8.58,                                        8.40,"                                        4,944.00",                                        8.44
54,GLBSL,                                        787.00,                                        15.00,                                        1.94,                                        776.00,                                        787.00,                                        776.00,                                        82.00,                                        772.00
55,GLH,                                        240.00,                                        -3.00,                                        -1.23,                                        243.00,                                        243.00,                                        233.50,                                        864.00,                                        243.00
56,GMFBS,                                        805.80,                                        -14.20,                                        -1.73,                                        820.00,                                        820.00,                                        790.00,                                        52.00,                                        820.00
57,GMFIL,                                        313.50,                                        0.60,                                        0.19,                                        318.90,                                        318.90,                                        306.80,"                                        2,956.00",                                        312.90
58,GRDBL,                                        234.50,                                        -0.10,                                        -0.04,                                        230.00,                                        234.50,                                        225.40,"                                        2,050.00",                                        234.60
59,GUFL,                                        518.00,                                        -6.00,                                        -1.15,                                        513.60,                                        530.00,                                        513.60,"                                        15,004.00",                                        524.00
60,GVL,                                        307.20,                                        -5.80,                                        -1.85,                                        306.80,                                        318.00,                                        306.80,"                                        10,333.00",                                        313.00
61,HBL,                                        322.00,                                        -1.70,                                        -0.53,                                        323.00,                                        325.00,                                        321.00,"                                        3,670.00",                                        323.70
62,HDHPC,                                        173.00,                                        -1.00,                                        -0.57,                                        173.00,                                        174.90,                                        172.10,"                                        51,032.00",                                        174.00
63,HDL,"                                        3,825.10",                                        7.10,                                        0.19,"                                        3,830.00","                                        3,869.90","                                        3,820.00","                                        7,387.00","                                        3,818.00"
64,HEI,                                        365.00,                                        -3.00,                                        -0.82,                                        361.30,                                        367.00,                                        361.00,"                                        8,360.00",                                        368.00
65,HEIP,                                        244.10,                                        4.70,                                        1.96,                                        240.20,                                        244.10,                                        240.10,"                                        2,510.00",                                        239.40
66,HHL,                                        219.00,                                        0.00,                                        0.00,                                        214.80,                                        219.00,                                        214.00,"                                        2,490.00",                                        219.00
67,HIDCL,                                        165.50,                                        -0.50,                                        -0.30,                                        167.00,                                        168.00,                                        165.00,"                                        23,059.00",                                        166.00
68,HIDCLP,                                        96.00,                                        0.00,                                        0.00,                                        97.00,                                        97.40,                                        96.00,"                                        4,822.00",                                        96.00
69,HPPL,                                        249.50,                                        0.80,                                        0.32,                                        244.00,                                        252.00,                                        244.00,"                                        7,248.00",                                        248.70
70,HURJA,                                        200.00,                                        -3.00,                                        -1.48,                                        203.00,                                        203.00,                                        199.00,"                                        1,052.00",                                        203.00
71,ICFC,                                        425.00,                                        -1.00,                                        -0.23,                                        434.50,                                        434.50,                                        423.00,"                                        7,919.00",                                        426.00
72,IGI,                                        365.00,                                        5.00,                                        1.39,                                        360.00,                                        366.00,                                        359.00,"                                        6,224.00",                                        360.00
73,ILBS,                                        881.00,                                        -20.00,                                        -2.22,                                        890.00,                                        895.00,                                        860.50,"                                        2,850.00",                                        901.00
74,JALPA,"                                        3,355.00",                                        30.00,                                        0.90,"                                        3,326.00","                                        3,395.00","                                        3,303.00","                                        1,091.00","                                        3,325.00"
75,JBBL,                                        280.00,                                        0.00,                                        0.00,                                        277.00,                                        281.00,                                        275.00,"                                        9,550.00",                                        280.00
76,JBLB,"                                        2,736.00",                                        26.00,                                        0.96,"                                        2,710.00","                                        2,750.00","                                        2,705.00","                                        1,603.00","                                        2,710.00"
77,JFL,                                        367.50,                                        -5.50,                                        -1.47,                                        379.00,                                        379.00,                                        367.50,"                                        2,870.00",                                        373.00
78,JOSHI,                                        188.70,                                        0.70,                                        0.37,                                        185.00,                                        191.00,                                        185.00,"                                        3,076.00",                                        188.00
79,JSLBB,"                                        1,611.00",                                        11.00,                                        0.69,"                                        1,620.00","                                        1,620.00","                                        1,580.00",                                        164.00,"                                        1,600.00"
80,KBL,                                        186.90,                                        1.90,                                        1.03,                                        184.00,                                        187.70,                                        183.00,"                                        21,351.00",                                        185.00
81,KDBY,                                        8.15,                                        -0.10,                                        -1.21,                                        8.10,                                        8.15,                                        7.96,"                                        1,600.00",                                        8.25
82,KEF,                                        7.94,                                        0.01,                                        0.13,                                        7.92,                                        8.24,                                        7.92,"                                        2,870.00",                                        7.93
83,KKHC,                                        183.00,                                        5.40,                                        3.04,                                        180.00,                                        183.00,                                        178.00,"                                        5,057.00",                                        177.60
