,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
0,ACLBSL,                                        701.00,                                        -14.00,                                        -1.96,                                        701.00,                                        713.90,                                        700.90,                                        473.00,                                        715.00
1,ADBL,                                        307.50,                                        -1.50,                                        -0.49,                                        308.00,                                        309.00,                                        305.20,"                                        9,650.00",                                        309.00
2,ADLB,                                        358.60,                                        20.50,                                        6.06,                                        344.80,                                        358.60,                                        344.80,                                        30.00,                                        338.10
3,AHPC,                                        269.00,                                        -1.00,                                        -0.37,                                        269.80,                                        272.00,                                        265.40,"                                        34,487.00",                                        270.00
4,AIL,                                        395.00,                                        -10.00,                                        -2.47,                                        401.00,                                        401.00,                                        393.00,"                                        3,480.00",                                        405.00
5,AKJCL,                                        169.90,                                        0.00,                                        0.00,                                        168.00,                                        170.00,                                        167.00,"                                        11,431.00",                                        169.90
6,AKPL,                                        342.20,                                        -5.60,                                        -1.61,                                        343.20,                                        345.10,                                        340.00,"                                        21,248.00",                                        347.80
7,ALBSL,                                        895.00,                                        -11.00,                                        -1.21,                                        890.00,                                        900.00,                                        890.00,                                        447.00,                                        906.00
8,ALICL,                                        501.10,                                        -11.00,                                        -2.15,                                        513.00,                                        518.00,                                        498.00,"                                        31,888.00",                                        512.10
9,API,                                        205.10,                                        -4.40,                                        -2.10,                                        207.00,                                        208.90,                                        205.00,"                                        67,442.00",                                        209.50
10,AVYAN,                                        693.00,                                        -12.00,                                        -1.70,                                        693.00,                                        706.00,                                        691.00,"                                        2,157.00",                                        705.00
11,BARUN,                                        198.90,                                        -5.00,                                        -2.45,                                        201.00,                                        202.10,                                        198.00,"                                        13,793.00",                                        203.90
12,BBC,"                                        3,150.00",                                        -90.00,                                        -2.78,"                                        3,195.00","                                        3,195.00","                                        3,150.00",                                        155.00,"                                        3,240.00"
13,BFC,                                        305.00,                                        -4.00,                                        -1.29,                                        309.00,                                        312.00,                                        304.00,"                                        3,514.00",                                        309.00
14,BHDC,                                        341.00,                                        -2.50,                                        -0.73,                                        337.00,                                        342.00,                                        331.00,"                                        3,250.00",                                        343.50
15,BHL,                                        249.00,                                        2.00,                                        0.81,                                        242.20,                                        255.00,                                        242.10,"                                        5,210.00",                                        247.00
16,BNHC,                                        329.00,                                        -3.00,                                        -0.90,                                        327.10,                                        330.10,                                        325.00,"                                        1,940.00",                                        332.00
17,BNT,"                                        12,250.00",                                        -293.10,                                        -2.34,"                                        12,292.30","                                        12,292.30","                                        12,250.00",                                        40.00,"                                        12,543.10"
18,BOKD86,                                        765.00,                                        15.00,                                        2.00,                                        765.00,                                        765.00,                                        765.00,                                        25.00,                                        750.00
19,BOKL,                                        209.70,                                        -7.10,                                        -3.27,                                        216.60,                                        216.60,                                        209.40,"                                        25,076.00",                                        216.80
20,BPCL,                                        304.00,                                        -1.10,                                        -0.36,                                        304.50,                                        309.50,                                        300.30,"                                        7,633.00",                                        305.10
21,CBBL,"                                        1,092.00",                                        -20.00,                                        -1.80,"                                        1,100.00","                                        1,113.00","                                        1,091.10","                                        9,615.00","                                        1,112.00"
22,CBL,                                        215.00,                                        -3.90,                                        -1.78,                                        218.00,                                        218.00,                                        214.20,"                                        32,423.00",                                        218.90
23,CCBD88,                                        841.10,                                        -8.90,                                        -1.05,                                        840.10,                                        843.00,                                        840.10,                                        125.00,                                        850.00
24,CCBL,                                        186.60,                                        1.70,                                        0.92,                                        185.00,                                        189.00,                                        184.00,"                                        53,190.00",                                        184.90
25,CFCL,                                        305.00,                                        5.00,                                        1.67,                                        298.00,                                        305.00,                                        296.10,"                                        7,826.00",                                        300.00
26,CGH,                                        991.00,                                        -14.00,                                        -1.39,                                        991.00,"                                        1,000.00",                                        985.00,"                                        1,120.00","                                        1,005.00"
27,CHCL,                                        382.00,                                        1.00,                                        0.26,                                        383.00,                                        388.60,                                        380.00,"                                        27,241.00",                                        381.00
